x,y,target,stimulus_id
3.3568048,5.9774804,Mix,FsItakNM2wI
2.311258,6.8165293,Fem,FvUgpHx9nKs
6.710826,6.3424635,Masc,GGlOzSB1R-w
0.5733905,4.8182707,Fem,GNLdz_GH8fs
7.6166415,5.237811,Mix,GUJ8PfvfQOU
1.3433126,5.629548,Fem,GXojZcA86Oo
2.975463,7.6444755,Fem,GvMmTsqExiw
1.7516835,5.2704744,Fem,HCTfaQg1fzc
7.961787,5.642484,Masc,HO-GyyhtDnA
6.029073,5.7392344,Mix,HWp1y2cHrgo
5.3719735,7.7645516,Masc,HjFgeL3bdeQ
6.035557,7.5064597,Masc,HkESWe-VmCw
4.1654706,7.847977,Fem,Hkae1vy8HPA
4.275697,5.089207,Masc,HmN4c8UShsk
5.7738733,7.2967443,Mix,IBDL15WTewc
5.2221956,5.5183206,Masc,IUMGZBXMi0M
2.5271816,5.183744,Mix,Ig3eyG9baPw
1.2883928,4.92335,Fem,IgiFNotHmKg
3.4279318,5.6793756,Mix,Ik1vebgUXxA
4.1254096,4.468481,Mix,InjI6hTzBNQ
2.1338146,6.8086734,Fem,J5HhmWTTGEM
4.527136,6.2681956,Mix,JBT_A2TyPCQ
7.7970757,5.97641,Masc,JGR4ryWa8u0
2.4469388,7.500462,Masc,JU2XXwkCav4
3.8812177,6.529817,Fem,JUaDM8hQBqw
4.394965,5.7207637,Mix,JXF8t1yznCk
3.1657934,6.0882545,Fem,Jj-N2q3MRIc
2.4628165,5.682267,Mix,Jq4T0dXB_60
5.5170326,5.2535295,Masc,Jw4UaI4irBA
1.3100682,5.956003,Mix,K1T7llOr_VQ
5.3472495,6.3166513,Masc,K2JvLAtwVcY
7.9953127,5.7809176,Masc,K8KoD8249XE
4.814846,6.9167724,Mix,KD1XHjYhvVU
1.1826832,4.7581224,Mix,KJSFkldABdY
8.044385,7.0806932,Masc,KUif1Bpvyfk
5.8559947,6.243777,Masc,KfDNYin9fDA
5.921918,8.479233,Mix,Kgdwd6Pqip4
5.611392,8.522402,Fem,KpdJNeu2Y34
3.2352161,6.6353674,Fem,KqXriV8Mi3Y
2.7926524,5.779842,Mix,KyAoy9PiJEk
0.7200671,5.074508,Mix,Kz2v4QYRsBw
4.529651,7.2248545,Mix,L90gLiPafb4
3.80431,5.402604,Mix,LEmyGcnBMms
1.8637431,5.164495,Fem,LHZKQoaZMpY
7.486261,5.4425087,Masc,LVmmGDCgDu8
3.322476,4.5717797,Fem,LW4UMSQNgpM
1.9293734,4.692848,Mix,LYVEt97fWLM
4.455496,7.2550573,Fem,LZm_wAgLSFE
5.20345,8.424714,Mix,L_k7TXQ2Tmw
6.6164546,7.963702,Mix,Lb1VBf2Fykc
3.3634691,6.7532754,Mix,LgDsU1GONwI
0.9637634,4.995241,Masc,LmmNeskIG-c
7.297925,5.5406823,Masc,Lnbrdx2iNZQ
7.052654,5.679809,Masc,LnsUJ5qlJi4
4.308039,7.9107842,Mix,Lo_x8RN_x2Y
3.181929,8.016773,Masc,Lt5lr8mebNY
7.302239,7.359213,Mix,M-ErishbROk
