x,y,target,stimulus_id
2.3262832,4.841415,Masc,s6K40WoEq78
2.2931437,4.97295,Masc,s6YcdEEF2H4
8.12147,3.6092994,Fem,s7Bws_0BJxs
5.926791,2.961568,Mix,s8U8-dAaS0Y
4.6378856,3.8106349,Fem,sP6RnFMqDnI
6.0314145,5.660138,Masc,sS_hpPzuLQ8
7.9934025,1.8030708,Fem,sbqlihZzH1w
8.601599,3.4574025,Fem,suodJ1Iq-kI
9.277793,5.386921,Masc,sv3SUIunbL0
6.2581434,5.3695745,Mix,sy-d6oJXqdE
7.921083,3.4831967,Fem,t9Cmn8w36LI
8.830538,5.2397056,Mix,tDuM3Kd5fs4
9.495132,4.3630204,Fem,tKelI4U_y6Q
5.4008718,4.7289095,Mix,tNru1d6XMuY
5.945571,3.1889215,Mix,tRJRP6qUWiA
8.831879,1.2564747,Fem,tTmh2c2AtXw
6.8752637,3.129911,Fem,tTn1rY6EC7M
8.400486,4.508639,Fem,tXrsSbHI0sQ
9.154424,3.4199061,Fem,ta_v_mzbMTg
6.3105555,5.4679847,Mix,tqvV2uFPCfs
9.712761,1.5130637,Fem,ttsmGXduEb0
9.772108,3.236106,Masc,tunMW9JZVCc
4.640405,3.938057,Mix,tuovbTrSLvE
9.3997,2.6538956,Fem,txLhZT3RoNk
8.322507,1.5892631,Fem,tyjlxbHsnuY
3.4066777,5.728029,Mix,u0DskPo_-dQ
8.016063,5.6196423,Masc,uIpha8-eBes
7.7919893,5.8406234,Masc,uL3HLM6cWCE
9.1231985,3.8776371,Fem,u_cbkgWZaM8
8.247982,5.1442494,Mix,ulURkxonNpU
1.7105546,5.1703944,Masc,upsuBoJQ6k4
8.2162,4.10266,Fem,vB9IIv6xHBI
9.482527,1.203923,Masc,vFlpklOfoaI
8.603661,4.798418,Fem,v_nZmNvP9J4
5.338163,4.370048,Mix,vdWc1qLStAs
8.016812,0.96566486,Fem,viov3zTevto
5.8181605,3.873819,Masc,vnkTkVvn4Yc
8.172409,3.0182745,Mix,w4zL859ehzU
4.272781,4.0778613,Mix,wI1q70-bcQE
3.6652255,4.4901567,Masc,wWt38u3ikbQ
9.781214,1.0087951,Fem,wdLUxu_OJh4
9.382941,1.1647743,Mix,wdLvKel9Cbo
8.045597,4.5627327,Fem,wdOfg3UPqzA
4.8192396,5.319524,Masc,weHJ1rLykgs
9.339334,0.962884,Mix,wxbvq4A02uQ
7.17805,4.9237714,Mix,x1Vhqc54Sgs
6.030869,3.070892,Fem,x75PlcuAiNc
9.152817,2.9099343,Fem,x85TYyRIRwU
6.5419655,4.510356,Mix,xK9Miif2otY
8.905004,5.627044,Mix,xNGvheoGSrE
4.0353684,4.470208,Masc,xbTNEkONzCo
8.980316,4.887014,Mix,xfIDBV2R5fw
4.0389366,5.4983525,Masc,xmZqmEXulA4
5.4024305,4.9822454,Mix,y6wJehV4tis
5.285627,3.4007928,Mix,yJ0v0wuokZE
9.425292,0.7937767,Mix,yQgb0LJUIlU
4.8277917,5.485853,Mix,yRUiwRKk6QM
8.574481,2.1032345,Masc,yVNl_oSo7bI
9.216221,4.9196157,Fem,ygXt9OPfzEE
8.93316,4.9443083,Fem,yxkQMmtVeG8
7.9791174,3.467315,Mix,yyyapflC9Wk
10.623629,2.5970845,Fem,z3Rub01-9J0
8.944909,1.3983893,Fem,z8xZjjBKZI8
10.133942,2.5750384,Mix,zNLbDvnYln0
1.424762,5.3999906,Masc,zaOUWigiEVM
3.385481,4.553659,Masc,zabpEcBueg8
3.5353813,6.0111265,Masc,zg1nAydNm_A
7.5251513,2.2985637,Mix,zgYKLgKXZjQ
8.726637,4.6990886,Fem,zmd44gV9raw
4.9967737,5.156372,Mix,zqvBh_9EQSc
