Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,prolific_id,stimulus_id
4,4,4,4,4,1,3,5d9e1929203419001625df07,OdDQthpq2Xo
7,2,3,2,7,2,2,611a665e428e9a57ba0de804,DWi19R_1ugo
3,2,2,2,2,2,1,5ef7d6c359b38851de122110,zqvBh_9EQSc
2,3,1,4,1,2,1,5f22de3904d2a80008ca108a,N-nPqprf5Yo
7,6,7,7,5,1,5,61f2ae4aa09e72f23cbafa9a,Nej7R1969c0
6,2,3,2,7,1,6,611d2cc49af322d296ac4117,jg35mmYzh3I
1,1,1,1,1,1,2,5d5f2fc82fce8e0019ca87c1,zaOUWigiEVM
5,4,2,2,4,1,1,5f0dab228f4b5d000bf1a31d,N-nPqprf5Yo
6,7,4,3,5,1,4,5b7f28ee4570a7000120ad3f,N-nPqprf5Yo
2,3,1,1,3,1,1,5d5f2fc82fce8e0019ca87c1,zg1nAydNm_A
5,2,2,4,5,1,4,614c5d3911d2a431c2c59857,GUJ8PfvfQOU
